im_id,title,releasedYear,Genre,Director,Writter,actors,imdb_votes,imdb_rating,keywords,PolarityConfidence,Tbl_ID
tt0013442,Nosferatu,1922,"Fantasy, Horror",F.W. Murnau,"Henrik Galeen (screen play), Bram Stoker (based on the novel: ""Dracula"")","Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell","75,397",8," wisbourg germany, based estate, agent knock dispatch, associate hutter, count orloks castle transylvania, count want, purchase isolated, house wisbourg plan, way hutters, home hutter, leaf innocent wife, hutters trek unusual, near castle, strange event, castle hutter manage sell, count house, unusual occurrence, dark shadow, even daytime count, unusually asleep hutter, see count sleeping, chamber crypt, based book, read belief, really vampire nosferatu, hutter trapped castle count, shipment coffin, make way, wisbourg causing, way attribute plague, hutter try rush, home save, imminent arrival wisbourg ellen, impending darkness, nosferatu get, closer learns, kill vampire, able save, nosferatu selfsacrifice",92.7273,1
tt0016630,Battling Butler,1926,Comedy,Buster Keaton,"Paul Girard Smith (adapted by: from the 1923 stage success of the same name), Al Boasberg (adapted by: from the 1923 stage success of the same name), Charles Henry Smith (adapted by: from the 1923 stage success of the same name), Lex Neal (adapted by: from the 1923 stage success of the same name)","Buster Keaton, Snitz Edwards, Sally O'Neil, Walter James","2,032",7.2," alfred father want, make man, fishing trip, doesnt catch shoot, anything fall love, mountain girl father, brother laugh, battling butler, championship fighter masquerade",-80,2
tt0017136,Metropolis,1927,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","130,730",8.3," future city metropolis home, utopian society, wealthy resident, carefree life freder, fredersen day spot, beautiful woman group child, trying follow horrified, find underground world, utopian world ground functioning, people ground, know world, freders father, john fredersen, founder master metropolis, freder learns, woman called, maria espouses, join hand worker head, power mediator, act heart, freder want, help plight worker, life john, learns maria advocating, freder joined, cause assistance, old colleague inventor called, rotwang turn nemesis, go work, towards quashing, uprising maria, centre plan, john unaware rotwang, agenda make, plan include, shutting machine, prospect unleashing, total anarchy ground",75.5556,3
tt0017925,The General,1926,"Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","64,625",8.2," johnnie love train, general annabelle, civil war begin turned, valuable engineer annabelle think, coward union, spy capture, general annabelle board johnnie",100,4
tt0019702,Blackmail,1929,"Crime, Thriller",Alfred Hitchcock,"Charles Bennett (from the play by), Alfred Hitchcock (adapted by), Benn W. Levy (dialogue)","Anny Ondra, Sara Allgood, Charles Paton, John Longden","7,952",7," alice white daughter, shopkeeper london boyfriend, webber scotland, detective seems, interested police work, frank take, alice night, arranged meet, night alice, back flat see, studio man idea, try rape alice, defends kill bread knife, body discovered frank, assigned case, alice killer, blackmail threatened",100,5
tt0019729,The Broadway Melody,1929,"Drama, Musical, Romance",Harry Beaumont,"Edmund Goulding (story), Sarah Y. Mason (continuity), Norman Houston (dialogue), James Gleason (dialogue)","Charles King, Anita Page, Bessie Love","5,205",6.2," harriet queenie mahoney vaudeville, act come, friend eddie, kern need, number francis zanfields, eddie love, harriet meet, queenie fall love courted, jock warriner member, new yorker, high society, take till, queenie recognizes, jock nothing toy, take till, harriet recognizes, eddie love queenie",50,6
tt0020142,The Manxman,1929,"Drama, Romance",Alfred Hitchcock,"Hall Caine (novel), Eliot Stannard (scenario)","Carl Brisson, Malcolm Keen, Anny Ondra, Randle Ayrton","2,057",6.3," differing background, pete lawyer philip life, long friend isle, man pete, want marry, kate landlord daughter, local inn, father doesnt think, enough pete leaf, island seek fortune, philip start",100,7
tt0020629,All Quiet on the Western Front,1930,"Drama, War",Lewis Milestone,"Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)","Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy","50,919",8.1," english language film made, german author, erich maria remarque film follows, group german schoolboy, beginning world, war jingoistic teacher, story told, experience young, german recruit, tragedy war eye, individual boy witness death, preconception enemy, right wrong conflict, angry bewildered, highlighted scene paul, soldier weeps, save life, trapped shell, crater body film, heroism drudgery, futility gulf, concept war",74.2857,8
tt0020668,The Bat Whispers,1930,"Crime, Thriller, Horror",Roland West,"Mary Roberts Rinehart (based upon a stage play by), Avery Hopwood (based upon a stage play by)","Chance Ward, Richard Tucker, Wilson Benge, DeWitt Jennings",659,6.5," advance warning police, area bat master, criminal steal necklace, safe house, socialite leaf note saying, going country give, police rest, rob bank, oakdale proceeds, lonely country mansion mixture, thrill chill laugh end, actor step, proscenium arch, reveal bat, identity friend, film noir, lit scene",100,9
tt0021015,The Shame of Mary Boyle,1930,"Comedy, Drama",Alfred Hitchcock,"Sean O'Casey (play), Alfred Hitchcock (adaptation), Alma Reville (scenario)","Barry Fitzgerald, Maire O'Neill, Edward Chapman, Sidney Morgan","1,712",4.8," irish revolution family earns, big inheritance start leading, rich life, important value end discover, receive inheritance, family destroyed, sell home, start living",40,10
tt0021749,City Lights,1931,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia","130,102",8.6," tramp fall, girl family, financial trouble tramp, friendship wealthy man, girl benefactor suitor",100,11
