ID	imdb_id	title	releasedYear	Genre	Director	Writter	actors	moviePlot	PreprocessedPlot	keywords	imdb_votes	imdb_rating	PolarityConfidence
1	tt1335975 	47 Ronin  	2013	"Action, Adventure, Drama"	Carl Rinsch	"Chris Morgan (screenplay), Hossein Amini (screenplay), Chris Morgan (screen story by), Walter Hamada (screen story by)"	"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano"	"While hunting in the forest, Lord Asano of Ako and his samurai find a young half-breed and take him with them to live in the castle. Several years later, Lord Asano holds a tournament to welcome the Shogun to Ako. The night after the tournament, Lord Asano is bewitched into hurting Lord Kira of Nagato, and is punished into committing seppuku by the Shogun. Realizing that it was a Lord Kira's evil plot, the samurais and the half-breed sets out for revenge against the Shogun's order."	hunting forest lord asano ako samurai find young halfbreed take live castle several year later lord asano hold tournament welcome shogun ako night tournament lord asano bewitched hurting lord kira nagato punished committing seppuku shogun realizing lord kiras evil plot samurai halfbreed set revenge shogun order	" forest lord asano ako, samurai find young halfbreed, live castle, several year, lord asano, hold tournament, welcome shogun ako night, tournament lord asano, hurting lord, kira nagato, committing seppuku, shogun realizing, evil plot samurai halfbreed, set revenge, shogun order"	6.3	"128,766"	92.7273
2	tt0359950	The Secret Life of Walter Mitty	2013	"Adventure, Comedy, Drama"	Ben Stiller	"Steve Conrad (screenplay by), Steve Conrad (screen story by), James Thurber (based on the short story by)"	"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn"	"The manager of the negative assets sector of Life magazine, Walter Mitty, has been working for sixteen years for the magazine and has a tedious life, not going anywhere but from his home to his job and vice-versa. He is an escapist, daydreaming into a world of fantasy many times a day. Walter has a crush on the recently hired Cheryl Melhoff but he is too shy to invite her on a date and he is trying to contact her via online dating. The magazine is preparing to release its last printed edition and the loathsome manager of transition Ted Hendricks is preparing an inevitable downsizing over the next few days. Walter has been the liaison between the magazine and the mysterious independent photographer Sean O'Connell who has sent to him a package of negatives and a wallet as a gift for his work. Sean also suggests to the senior management the use of negative 25 for the cover of the last edition. However, Walter cannot find the negative that is missing. Walter has no means to contact Sean and finds a clue that he might be in Greenland. He decides to travel to Greenland to track Sean down in the beginning of an unbelievable adventure."	manager negative asset sector life magazine walter mitty working sixteen year magazine tedious life not going anywhere home job viceversa escapist daydreaming world fantasy many time day walter crush recently hired cheryl melhoff shy invite date trying contact via online dating magazine preparing release last printed edition loathsome manager transition ted hendricks preparing inevitable downsizing next day walter liaison magazine mysterious independent photographer sean oconnell sent package negative wallet gift work sean also suggests senior management use negative cover last edition however walter can not find negative missing walter no mean contact sean find clue might greenland decides travel greenland track sean beginning unbelievable adventure	" manager negative asset, sector life magazine, walter mitty, sixteen year magazine, tedious life, home job, viceversa escapist, daydreaming world fantasy, many time day walter, hired cheryl, melhoff shy, invite date, trying contact, online dating, magazine preparing, release last, printed edition loathsome manager, transition ted, hendricks preparing inevitable, next day walter liaison, magazine mysterious, independent photographer sean oconnell sent, package negative wallet, gift work sean, senior management use, negative cover, last edition, negative missing, mean contact, sean find, greenland decides travel, sean beginning, unbelievable adventure"	7.3	"263,083"	-80
3	tt2938956	The Transporter Refueled	2015	"Action, Adventure, Crime"	Camille Delamarre	"Adam Cooper, Bill Collage, Luc Besson, Luc Besson (characters), Robert Mark Kamen (characters)"	"Ed Skrein, Ray Stevenson, Loan Chabanol, Gabriella Wright"	"Frank Martin, played by newcomer Ed Skrein, a former special-ops mercenary, is now living a less perilous life - or so he thinks - transporting classified packages for questionable people. When Frank's father (Ray Stevenson) pays him a visit in the south of France, their father-son bonding weekend takes a turn for the worse when Frank is engaged by a cunning femme-fatale, Anna (Loan Chabanol), and her three seductive sidekicks to orchestrate the bank heist of the century. Frank must use his covert expertise and knowledge of fast cars, fast driving and fast women to outrun a sinister Russian kingpin, and worse than that, he is thrust into a dangerous game of chess with a team of gorgeous women out for revenge. From the producers of LUCY and the TAKEN trilogy, THE TRANSPORTER REFUELED is a fresh personification of the iconic role of Frank Martin, that launches the high-octane franchise into the present-day and introduces it to the next generation of thrill-seekers."	frank martin played newcomer ed skrein former specialops mercenary now living le perilous life so think transporting classified package questionable people frank father ray stevenson pay visit south france fatherson bonding weekend take turn worse frank engaged cunning femmefatale anna loan chabanol three seductive sidekick orchestrate bank heist century frank must use covert expertise knowledge fast car fast driving fast woman outrun sinister russian kingpin worse thrust dangerous game chess team gorgeous woman revenge producer lucy taken trilogy transporter refueled fresh personification iconic role frank martin launch highoctane franchise presentday introduces next generation thrillseekers	" frank martin, newcomer ed skrein, former specialops, le perilous life, think transporting, classified package, questionable people, stevenson pay visit, south france fatherson bonding, weekend take, turn worse frank, femmefatale anna loan chabanol, seductive sidekick orchestrate bank, heist century frank, covert expertise knowledge fast, woman outrun, sinister russian kingpin, thrust dangerous game, chess team, gorgeous woman revenge producer lucy, taken trilogy, transporter refueled fresh personification, iconic role frank, launch highoctane franchise presentday, introduces next generation"	5.2	"34,107"	75.5556
4	tt0120815	Saving Private Ryan	1998	"Drama, War"	Steven Spielberg	Robert Rodat	"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper"	"Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother..."	opening allied invasion normandy june member ranger battalion cpt miller fight ashore secure beachhead amidst fighting two brother killed action earlier new guinea third brother kia mother mr ryan receive three grave telegram day united state army chief staff george  marshall given opportunity alleviate grief learns fourth brother private james ryan decides send men cpt miller select member ranger find bring back home mother	" allied invasion, june member ranger battalion, cpt miller fight, ashore secure beachhead, brother killed, earlier new guinea, third brother, mr ryan, telegram day, united state army, chief staff george marshall given, opportunity alleviate grief, brother private james, ryan decides send, men cpt, miller select member, ranger find, home mother"	8.6	"1,032,936"	100
5	tt0113497	Jumanji	1995	"Adventure, Family, Fantasy"	Joe Johnston	"Jonathan Hensleigh (screenplay), Greg Taylor (screenplay), Jim Strain (screenplay), Greg Taylor (screen story), Jim Strain (screen story), Chris Van Allsburg (screen story), Chris Van Allsburg (book)"	"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce"	"After being trapped in a jungle board game for 26 years, a Man-Child wins his release from the game. But, no sooner has he arrived that he is forced to play again, and this time sets the creatures of the jungle loose on the city. Now it is up to him to stop them."	trapped jungle board game year manchild win release game no sooner arrived forced play time set creature jungle loose city now up stop	" trapped jungle, board game year, manchild win, release game, sooner arrived, forced play, time set, creature jungle, loose city"	6.9	"253,660"	100
6	tt3741834	Lion	2016	"Biography, Drama"	Garth Davis	"Saroo Brierley (adapted from the book ""A Long Way Home"" by), Luke Davies (screenplay by)"	"Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki"	"In 1986, Saroo was a five-year-old child in India of a poor but happy rural family. On a trip with his brother, Saroo soon finds himself alone and trapped in a moving decommissioned passenger train that takes him to Calcutta, 1500 miles away from home. Now totally lost in an alien urban environment and too young to identify either himself or his home to the authorities, Saroo struggles to survive as a street child until he is sent to an orphanage. Soon, Saroo is selected to be adopted by the Brierley family in Tasmania, where he grows up in a loving, prosperous home. However, for all his material good fortune, Saroo finds himself plagued by his memories of his lost family in his adulthood and tries to search for them even as his guilt drives him to hide this quest from his adoptive parents and his girlfriend. Only when he has an epiphany does he realize not only the answers he needs, but also the steadfast love that he has always had with all his loved ones in both worlds."	saroo fiveyearold child india poor happy rural family trip brother saroo soon find alone trapped moving decommissioned passenger train take calcutta mile away home now totally lost alien urban environment young identify either home authority saroo struggle survive street child sent orphanage soon saroo selected adopted brierley family tasmania grows up loving prosperous home however material good fortune saroo find plagued memory lost family adulthood try search even guilt drive hide quest adoptive parent girlfriend epiphany realize not answer need also steadfast love always loved one world	" saroo fiveyearold child, rural family trip brother, alone trapped, decommissioned passenger, train take, urban environment, young identify, home authority, saroo struggle, survive street, sent orphanage, brierley family tasmania grows, prosperous home, good fortune saroo find, plagued memory, lost family, adulthood try search, drive hide, adoptive parent girlfriend epiphany realize, answer need, steadfast love"	8.1	"159,433"	50
7	tt0455614	Malena	2003	Short	Alberto Pernet	Alberto Pernet	N/A	N/A			6.4	24	100
8	tt0489045	Exposing the DaVinci Code	2005	Documentary	Michael Bouson	"Jessica Bertulis, Michael Bouson, Gregg McClurg"	Stephan Munsey	"The DaVinci code sold over 20 million copies in 44 languages by grossly distorting the truth and rewriting history. In this unprecedented television event, world-renowned scholars fight the dramatic and shocking distorted facts that almost derailed centuries of religious convictions."	davinci code sold million copy language grossly distorting truth rewriting history unprecedented television event worldrenowned scholar fight dramatic shocking distorted fact almost derailed century religious conviction	" davinci code, copy language, distorting truth rewriting, history unprecedented television, event worldrenowned scholar fight, dramatic shocking, distorted fact, almost derailed century, religious conviction"	4.1	99	74.2857
9	tt1389072	Downsizing	2017	"Comedy, Drama, Sci-Fi"	Alexander Payne	"Alexander Payne, Jim Taylor"	"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig"	"""Downsizing"" follows a kindly occupational therapist who undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time."	downsizing follows kindly occupational therapist undergoes new procedure shrunken four inch tall so wife can help save planet afford nice lifestyle time	" kindly occupational therapist, new procedure, inch tall, save planet, afford nice, lifestyle time"	5.7	"49,405"	95.5556
10	tt6513656	Escape Plan 2: Hades	2018	"Action, Thriller"	Steven C. Miller	Miles Chapman	"Sylvester Stallone, Dave Bautista, Xiaoming Huang, Jesse Metcalfe"	"Sequel to the 2013 film that featured a security expert named Ray Breslin, who used his skills to test out the reliability of maximum security prisons."	sequel film featured security expert named ray breslin used skill test reliability maximum security prison	" sequel film, featured security, expert named, ray breslin, skill test reliability, maximum security prison"	3.8	"4,062"	50
