Tbl_ID,im_id,title,releasedYear,Genre,Director,Writter,actors,moviePlot,PreprocessedPlot,imdb_votes,imdb_rating,keywords,PolarityConfidence,cluster
1,tt0013442,Nosferatu,1922,"Fantasy, Horror",F.W. Murnau,"Henrik Galeen (screen play), Bram Stoker (based on the novel: ""Dracula"")","Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell","Wisbourg, Germany based estate agent Knock dispatches his associate, Hutter, to Count Orlok's castle in Transylvania as the Count wants to purchase an isolated house in Wisbourg. They plan on selling him the one across the way from Hutter's own home. Hutter leaves his innocent wife, Ellen, with some friends while he is away. Hutter's trek is an unusual one, with many locals not wanting to take him near the castle where strange events have been occurring. Once at the castle, Hutter does manage to sell the Count the house, but he also notices and feels unusual occurrences, primarily feeling like there is a dark shadow hanging over him, even in the daytime when the Count is unusually asleep. Hutter eventually sees the Count's sleeping chamber in a crypt, and based on a book he has recently read, believes the Count is really a vampire or Nosferatu. While Hutter is trapped in the castle, the Count, hiding in a shipment of coffins, makes his way to Wisbourg, causing death along his way, which most attribute to the plague. Hutter himself tries to rush home to save his town and most importantly save Ellen from Nosferatu's imminent arrival. In Wisbourg, Ellen can feel the impending darkness as Nosferatu gets closer. But she learns that a sinless woman can sacrifice herself to kill the vampire. Will Hutter be able to save Ellen either from Nosferatu and/or her self-sacrifice?",wisbourg germany based estate agent knock dispatch associate hutter count orloks castle transylvania count want purchase isolated house wisbourg plan selling across way hutters home hutter leaf innocent wife ellen friend away hutters trek unusual many local not wanting take near castle strange event occurring castle hutter manage sell count house also notice feel unusual occurrence primarily feeling like dark shadow hanging even daytime count unusually asleep hutter eventually see count sleeping chamber crypt based book recently read belief count really vampire nosferatu hutter trapped castle count hiding shipment coffin make way wisbourg causing death along way attribute plague hutter try rush home save town importantly save ellen nosferatus imminent arrival wisbourg ellen can feel impending darkness nosferatu get closer learns sinless woman can sacrifice kill vampire will hutter able save ellen either nosferatu selfsacrifice,75397,8," wisbourg germany, based estate, agent knock dispatch, associate hutter, count orloks castle transylvania, count want, purchase isolated, house wisbourg plan, way hutters, home hutter, leaf innocent wife, hutters trek unusual, near castle, strange event, castle hutter manage sell, count house, unusual occurrence, dark shadow, even daytime count, unusually asleep hutter, see count sleeping, chamber crypt, based book, read belief, really vampire nosferatu, hutter trapped castle count, shipment coffin, make way, wisbourg causing, way attribute plague, hutter try rush, home save, imminent arrival wisbourg ellen, impending darkness, nosferatu get, closer learns, kill vampire, able save, nosferatu selfsacrifice",92.7273,1
2,tt0016630,Battling Butler,1926,Comedy,Buster Keaton,"Paul Girard Smith (adapted by: from the 1923 stage success of the same name), Al Boasberg (adapted by: from the 1923 stage success of the same name), Charles Henry Smith (adapted by: from the 1923 stage success of the same name), Lex Neal (adapted by: from the 1923 stage success of the same name)","Buster Keaton, Snitz Edwards, Sally O'Neil, Walter James","Alfred's father wants him to make of a man of himself so sends him off on a hunting and fishing trip. He doesn't catch or shoot anything, but he does fall in love with a mountain girl. When her father and brothers laugh at this they are informed that he is Alfred ""Battling"" Butler, the championship fighter. From there on the masquerade must be maintained.",alfred father want make man so sends off hunting fishing trip doesnt catch shoot anything fall love mountain girl father brother laugh informed alfred battling butler championship fighter masquerade must maintained,2032,7.2," alfred father want, make man, fishing trip, doesnt catch shoot, anything fall love, mountain girl father, brother laugh, battling butler, championship fighter masquerade",-80,0
3,tt0017136,Metropolis,1927,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","Sometime in the future, the city of Metropolis is home to a Utopian society where its wealthy residents live a carefree life. One of those is Freder Fredersen. One day, he spots a beautiful woman with a group of children, she and the children quickly disappear. Trying to follow her, he is horrified to find an underground world of workers who apparently run the machinery that keeps the Utopian world above ground functioning. One of the few people above ground who knows about the world below is Freder's father, John Fredersen, who is the founder and master of Metropolis. Freder learns that the woman is called Maria, who espouses the need to join the ""hands"" - the workers - to the ""head"" - those in power above - by a mediator who will act as the ""heart"". Freder wants to help the plight of the workers in their struggle for a better life. But when John learns of what Maria is advocating and that Freder has joined their cause, with the assistance of an old colleague. an inventor called Rotwang, who turns out to be But their nemesis goes to works towards quashing a proposed uprising, with Maria at the centre of their plan. John, unaware that Rotwang has his own agenda., makes plans that include shutting down the machines, with the prospect of unleashing total anarchy both above and below ground.",sometime future city metropolis home utopian society wealthy resident live carefree life freder fredersen day spot beautiful woman group child child quickly disappear trying follow horrified find underground world worker apparently run machinery keep utopian world ground functioning people ground know world freders father john fredersen founder master metropolis freder learns woman called maria espouses need join hand worker head power mediator will act heart freder want help plight worker struggle better life john learns maria advocating freder joined cause assistance old colleague inventor called rotwang turn nemesis go work towards quashing proposed uprising maria centre plan john unaware rotwang agenda make plan include shutting machine prospect unleashing total anarchy ground,130730,8.3," future city metropolis home, utopian society, wealthy resident, carefree life freder, fredersen day spot, beautiful woman group child, trying follow horrified, find underground world, utopian world ground functioning, people ground, know world, freders father, john fredersen, founder master metropolis, freder learns, woman called, maria espouses, join hand worker head, power mediator, act heart, freder want, help plight worker, life john, learns maria advocating, freder joined, cause assistance, old colleague inventor called, rotwang turn nemesis, go work, towards quashing, uprising maria, centre plan, john unaware rotwang, agenda make, plan include, shutting machine, prospect unleashing, total anarchy ground",75.5556,8
4,tt0017925,The General,1926,"Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton","Buster Keaton, Clyde Bruckman, Al Boasberg (adapted by), Charles Henry Smith (adapted by)","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","Johnnie loves his train (""The General"") and Annabelle Lee. When the Civil War begins he is turned down for service because he's more valuable as an engineer. Annabelle thinks it's because he's a coward. Union spies capture The General with Annabelle on board. Johnnie must rescue both his loves.",johnnie love train general annabelle lee civil war begin turned service he valuable engineer annabelle think he coward union spy capture general annabelle board johnnie must rescue love,64625,8.2," johnnie love train, general annabelle, civil war begin turned, valuable engineer annabelle think, coward union, spy capture, general annabelle board johnnie",100,6
5,tt0019702,Blackmail,1929,"Crime, Thriller",Alfred Hitchcock,"Charles Bennett (from the play by), Alfred Hitchcock (adapted by), Benn W. Levy (dialogue)","Anny Ondra, Sara Allgood, Charles Paton, John Longden","Alice White is the daughter of a shopkeeper in 1920's London. Her boyfriend, Frank Webber is a Scotland Yard detective who seems more interested in police work than in her. Frank takes Alice out one night, but she has secretly arranged to meet another man. Later that night Alice agrees to go back to his flat to see his studio. The man has other ideas and as he tries to rape Alice, she defends herself and kills him with a bread knife. When the body is discovered, Frank is assigned to the case, he quickly determines that Alice is the killer, but so has someone else and blackmail is threatened.",alice white daughter shopkeeper  london boyfriend frank webber scotland yard detective seems interested police work frank take alice night secretly arranged meet another man later night alice agrees go back flat see studio man idea try rape alice defends kill bread knife body discovered frank assigned case quickly determines alice killer so someone else blackmail threatened,7952,7," alice white daughter, shopkeeper london boyfriend, webber scotland, detective seems, interested police work, frank take, alice night, arranged meet, night alice, back flat see, studio man idea, try rape alice, defends kill bread knife, body discovered frank, assigned case, alice killer, blackmail threatened",100,3
6,tt0019729,The Broadway Melody,1929,"Drama, Musical, Romance",Harry Beaumont,"Edmund Goulding (story), Sarah Y. Mason (continuity), Norman Houston (dialogue), James Gleason (dialogue)","Charles King, Anita Page, Bessie Love","Harriet and Queenie Mahoney, a vaudeville act, come to Broadway, where their friend Eddie Kerns needs them for his number in one of Francis Zanfield's shows. Eddie was in love with Harriet, but when he meets Queenie, he falls in love to her, but she is courted by Jock Warriner, a member of the New Yorker high society. It takes a while till Queenie recognizes, that she is for Jock nothing more than a toy, and it also takes a while till Harriet recognizes, that Eddie is in love with Queenie.",harriet queenie mahoney vaudeville act come broadway friend eddie kern need number francis zanfields show eddie love harriet meet queenie fall love courted jock warriner member new yorker high society take till queenie recognizes jock nothing toy also take till harriet recognizes eddie love queenie,5205,6.2," harriet queenie mahoney vaudeville, act come, friend eddie, kern need, number francis zanfields, eddie love, harriet meet, queenie fall love courted, jock warriner member, new yorker, high society, take till, queenie recognizes, jock nothing toy, take till, harriet recognizes, eddie love queenie",50,2
7,tt0020142,The Manxman,1929,"Drama, Romance",Alfred Hitchcock,"Hall Caine (novel), Eliot Stannard (scenario)","Carl Brisson, Malcolm Keen, Anny Ondra, Randle Ayrton","Despite their differing backgrounds, fisherman Pete and lawyer Philip have been life long friends on the Isle of Man. Pete wants to marry Kate, the landlord's daughter at the local inn, however Kate's father doesn't think he is good enough. Pete leaves the island to seek his fortune abroad and entrusts Kate to Philip, but they start to be attracted to each other.",despite differing background fisherman pete lawyer philip life long friend isle man pete want marry kate landlord daughter local inn however kates father doesnt think good enough pete leaf island seek fortune abroad entrusts kate philip start attracted,2057,6.3," differing background, pete lawyer philip life, long friend isle, man pete, want marry, kate landlord daughter, local inn, father doesnt think, enough pete leaf, island seek fortune, philip start",100,2
8,tt0020629,All Quiet on the Western Front,1930,"Drama, War",Lewis Milestone,"Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)","Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy","This is an English language film (made in America) adapted from a novel by German author Erich Maria Remarque. The film follows a group of German schoolboys, talked into enlisting at the beginning of World War 1 by their jingoistic teacher. The story is told entirely through the experiences of the young German recruits and highlights the tragedy of war through the eyes of individuals. As the boys witness death and mutilation all around them, any preconceptions about ""the enemy"" and the ""rights and wrongs"" of the conflict disappear, leaving them angry and bewildered. This is highlighted in the scene where Paul mortally wounds a French soldier and then weeps bitterly as he fights to save his life while trapped in a shell crater with the body. The film is not about heroism but about drudgery and futility and the gulf between the concept of war and the actuality.",english language film made america adapted novel german author erich maria remarque film follows group german schoolboy talked enlisting beginning world war jingoistic teacher story told entirely experience young german recruit highlight tragedy war eye individual boy witness death mutilation around preconception enemy right wrong conflict disappear leaving angry bewildered highlighted scene paul mortally wound french soldier weeps bitterly fight save life trapped shell crater body film not heroism drudgery futility gulf concept war actuality,50919,8.1," english language film made, german author, erich maria remarque film follows, group german schoolboy, beginning world, war jingoistic teacher, story told, experience young, german recruit, tragedy war eye, individual boy witness death, preconception enemy, right wrong conflict, angry bewildered, highlighted scene paul, soldier weeps, save life, trapped shell, crater body film, heroism drudgery, futility gulf, concept war",74.2857,8
9,tt0020668,The Bat Whispers,1930,"Crime, Thriller, Horror",Roland West,"Mary Roberts Rinehart (based upon a stage play by), Avery Hopwood (based upon a stage play by)","Chance Ward, Richard Tucker, Wilson Benge, DeWitt Jennings","Despite advance warning to the police, who seal off the area, The Bat, a master criminal, steals a necklace from the safe in the house of a rich socialite. He leaves a note saying he is going to the country to give the police a rest. Pausing only to rob a bank at Oakdale, he proceeds to terrorise the occupants of a lonely country mansion, in a mixture of thrills, chills and laughs. At the end, an actor steps forward through a proscenium arch and asks the viewers not to reveal the Bat's identity to their friends. A film noir shot in black and white, mainly at night in dimly lit scenes.",despite advance warning police seal off area bat master criminal steal necklace safe house rich socialite leaf note saying going country give police rest pausing rob bank oakdale proceeds terrorise occupant lonely country mansion mixture thrill chill laugh end actor step forward proscenium arch asks viewer not reveal bat identity friend film noir shot black white mainly night dimly lit scene,659,6.5," advance warning police, area bat master, criminal steal necklace, safe house, socialite leaf note saying, going country give, police rest, rob bank, oakdale proceeds, lonely country mansion mixture, thrill chill laugh end, actor step, proscenium arch, reveal bat, identity friend, film noir, lit scene",100,3
10,tt0021015,The Shame of Mary Boyle,1930,"Comedy, Drama",Alfred Hitchcock,"Sean O'Casey (play), Alfred Hitchcock (adaptation), Alma Reville (scenario)","Barry Fitzgerald, Maire O'Neill, Edward Chapman, Sidney Morgan","During the Irish revolution, a family earns a big inheritance. They start leading a rich life forgetting what the most important values of are. At the end, they discover they will not receive that inheritance; the family is destroyed and penniless. They must sell their home and start living like vagabonds.",irish revolution family earns big inheritance start leading rich life forgetting important value end discover will not receive inheritance family destroyed penniless must sell home start living like vagabond,1712,4.8," irish revolution family earns, big inheritance start leading, rich life, important value end discover, receive inheritance, family destroyed, sell home, start living",40,0
