imdb,quote,title
114709,So ingenious in concept design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.,Toy Story
114709,The years most inventive comedy.,Toy Story
114709,A winning animated feature that has something for everyone on the age spectrum.,Toy Story
114709,The film sports a provocative and appealing story thats every bit the equal of this technical achievement.,Toy Story
114709,An entertaining computer-generated hyperrealist animation feature (1995) thats also in effect a toy catalog.,Toy Story
114709,As Lion King did before it Toy Story revived the art of American childrens animation and ushered in a set of smart movies that entertained children and their parents. Its a landmark movie and doesnt get old with frequent repetition.,Toy Story
114709,The film will probably be more fully appreciated by adults wholl love the snappy knowing verbal gags the vivid deftly defined characters and the overall conceptual sophistication.,Toy Story
114709,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,Toy Story
114709,Although its computer-generated imagery is impressive the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.,Toy Story
114709,How perfect that two of the most popular funny guys around Tom Hanks and Tim Allen speak for the lead boy-toys.,Toy Story
114709,The result is a visionary roller-coaster ride of a movie.,Toy Story
114709,Disneys witty wondrously imaginative all-computer-generated cartoon is far and away the best of the new holiday movies in town.,Toy Story
114709,Disneys first computer-made animated feature is a 3-D eye popper.,Toy Story
114709,The script by Lasseter Pete Docter Andrew Stanton and Joe Ranft is filled with clever gags that keep the two heroes at each others throats and the plot on fast- forward.,Toy Story
114709,The one big negative about Toy Story involves Disneys overcommercialization.,Toy Story
114709,Technically Toy Story is nearly flawless.,Toy Story
114709,Its a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,Toy Story
114709,I can hardly imagine having more fun at the movies than I did at Toy Story the miraculous new Disney feature thats the first full-length animated film to be produced entirely on computer.,Toy Story
114709,The great voice acting the visual puns all added up to an animation game changer.,Toy Story
113497,A gloomy special-effects extravaganza filled with grotesque images generating fear and despair.,Jumanji
113497,A calculated but very entertaining special effects extravaganza.,Jumanji
107050,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,Grumpy Old Men
107050,Mediocre regrettably.,Grumpy Old Men
107050,Just dont expect their bickering to be on the level of Neil Simon and you wont be disappointed.,Grumpy Old Men
107050,While it wont come close to my top 10 best list for 1993 it will be right up there among the pictures that I had the most fun watching.,Grumpy Old Men
107050,The movie is too pat and practiced to really be convincing and the progress of Ariels relationships with the two grumps seems dictated mostly by the needs of the screenplay.,Grumpy Old Men
107050,If you poke through Grumpys cheap sentimentality youll find a worthy picture somewhere.,Grumpy Old Men
114885,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,Waiting to Exhale
114885,A pleasant if undemanding piece of work that is diverting to sit through though it wont stand up to any kind of rigorous examination.,Waiting to Exhale
114885,You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags occasionally flaring up then sputtering again.,Waiting to Exhale
114885,This sister-celebratory adaptation of Terry McMillans best-selling book is frequently delightful.,Waiting to Exhale
114885,The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche exhilarating in the short term but ultimately crippling and dangerous.,Waiting to Exhale
114885,Whitaker clumsily mishandles what should be a you go girl! tour de force.,Waiting to Exhale
114885,With one possible exception none of its women is at all likable.,Waiting to Exhale
114885,For all the pleasure there is in seeing effective great-looking black women grappling with major life issues on screen Waiting to Exhale is an uneven piece.,Waiting to Exhale
114885,With the exception of Bernadine I never felt anything for the women populating this film as they failed to capture my interest or sympathy.,Waiting to Exhale
114885,An escapist fantasy that women in the audience can enjoy by musing I wish I had her problems - and her car house wardrobe figure and men even wrong men.,Waiting to Exhale
113041,Martin Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on but hour 2 is only for those who dont want their equilibriums rattled by surprises.,Father of the Bride Part II
113277,Heat occupies an exalted position among the countless contemporary crime films.,Heat
113277,Robert De Niros last great role before he devoted himself to self-parody.,Heat
113277,This is simply the best American crime movie -- and indeed one of the finest movies period -- in over a decade.,Heat
113277,As Heat progresses its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.,Heat
113277,Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek accomplished piece of work meticulously controlled and completely involving.,Heat
113277,For a film that deserves Oscars for photography editing sound and arguably scoring Heat is packed with unforgettable subcharacters.,Heat
113277,All this adds good weight and tension to the movie and provides a lot of very good actors with the opportunity to do honest probing work in a context where typically less will do.,Heat
113277,All the squealing tires flying bullets and falling bodies cannot save Heat from drowning in its own banalities ...,Heat
113277,Michael Manns writing and direction elevate this material. Its not just an action picture.,Heat
